Lokasi,Tren,Tanggal Listing,Harga,Harga Asli,Omset 30 Hari,Rata-rata Omset per bulan,Omset Total,Penjualan 30 Hari,Rata-rata Penjualan per bulan,Penjualan Total,Jumlah Stok,Nilai Stok,Rating,Jumlah Ulasan,Wishlist,Category,Harga_encoded,Rata-rata Penjualan per bulan_outlier_flag,Rata-rata Omset per bulan_outlier_flag,Nilai Stok_outlier_flag
KOTA BEKASI,-32.0,2019-10-14,11,15,49168000,0,0,439.0,581946,34.0,2,0,4.89,10.0,3.0,misc,27850.0,True,False,False
KOTA JAKARTA SELATAN,-23.0,2020-11-03,11,0,18555300,0,0,159.0,197035,9.0,122,0,4.91,1.0,240.0,misc,37200.0,True,False,False
Bandung,58.0,2022-01-25,20,0,107420000,0,0,524.0,216024,6.0,884,0,4.9,884.0,141.0,misc,8650.0,True,False,False
Jakarta Barat,10.0,2022-08-05,25,0,62730000,0,0,246.0,219582,5.0,296,0,4.9,394.0,151.0,misc,11500.0,True,False,False
KOTA BEKASI,56.0,2020-05-18,17,24,21080000,925,0,124.0,54414,2.0,5,0,4.92,617.0,310.0,misc,27850.0,True,False,False
Jakarta Utara,48.0,2020-04-21,18,0,21420000,0,0,119.0,61084,3.0,12,0,4.9,332.0,174.0,misc,23500.0,True,False,False
Jakarta Barat,14.0,2022-04-27,31,0,133964000,0,0,428.0,365907,10.0,1,0,4.91,1.0,374.0,misc,11500.0,True,False,False
Jakarta Utara,-60.0,2022-07-11,59,67,48195000,0,0,81.0,129616,3.0,98,0,4.92,782.0,215.0,misc,23500.0,True,False,False
KOTA JAKARTA PUSAT,-15.0,2024-07-16,50,0,18000000,0,0,36.0,41553,100.0,780,0,4.95,20.0,4.0,misc,15900.0,True,False,False
KOTA JAKARTA PUSAT,8.0,2024-06-05,31,0,20096370,0,0,63.0,57626,217.0,300,0,5.0,19.0,13.0,misc,15900.0,True,False,False
KOTA BEKASI,24.0,2020-05-18,46,66,95472000,0,0,204.0,154567,8.0,2,0,4.95,2.0,945.0,misc,27850.0,True,False,False
KOTA BEKASI,69.0,2020-05-18,24,35,33098000,0,0,134.0,40715,2.0,131,0,4.91,554.0,313.0,misc,27850.0,True,False,False
KOTA JAKARTA BARAT,54.0,2024-04-24,49,71,34300000,0,0,70.0,31946,164.0,18,882,4.95,61.0,18.0,misc,17500.0,True,False,False
KOTA JAKARTA BARAT,19.0,2022-04-13,75,108,31836000,0,0,42.0,33671,994.0,2,0,4.93,251.0,152.0,misc,17500.0,True,False,False
KOTA JAKARTA BARAT,52.0,2021-02-02,14,0,96552000,0,0,648.0,306508,13.0,663,0,4.81,3.0,1.0,Tas,40445.0,True,False,False
KOTA JAKARTA BARAT,57.0,2024-04-24,48,60,9600000,411,0,20.0,8571,44.0,22,0,4.96,24.0,5.0,misc,17500.0,True,False,False
KOTA BANDUNG,3.0,2023-10-06,50,51,93656000,0,0,184.0,177972,2.0,504,0,4.98,462.0,57.0,misc,44000.0,True,False,False
KOTA JAKARTA UTARA,35.0,2020-06-13,52,0,50934700,0,0,97.0,62146,3.0,213,0,4.96,784.0,34.0,misc,50000.0,True,False,False
KAB. BEKASI,-44.0,2022-10-25,20,0,25828770,0,0,123.0,177944,4.0,9,0,4.87,598.0,70.0,misc,35500.0,True,False,False
KOTA SURABAYA,76.0,2020-10-06,35,0,22784000,528,0,64.0,14832,708.0,580,0,4.9,274.0,357.0,misc,16221.5,True,False,False
KOTA JAKARTA UTARA,25.0,2023-03-15,53,0,26500000,0,0,50.0,37258,687.0,9,0,4.92,242.0,97.0,misc,50000.0,True,False,False
KOTA BANDUNG,-59.0,2023-10-06,17,0,10500000,0,0,60.0,95571,1.0,889,0,4.93,134.0,33.0,misc,44000.0,True,False,False
KOTA JAKARTA BARAT,-31.0,2020-07-27,45,0,6300000,828,0,14.0,18406,921.0,5,225,4.95,386.0,3.0,misc,17500.0,True,False,False
KOTA JAKARTA UTARA,67.0,2020-02-12,18,0,50040000,0,0,278.0,90829,5.0,3,0,4.88,870.0,854.0,misc,50000.0,True,False,False
KOTA TANGERANG,21.0,2022-12-18,58,0,29050000,0,0,50.0,39387,840.0,1,0,4.92,180.0,34.0,misc,60000.0,True,False,False
KOTA BANDUNG,10.0,2024-06-08,61,0,34770000,0,0,57.0,51147,188.0,23,0,5.0,39.0,31.0,misc,44000.0,True,False,False
KOTA BANDUNG,8.0,2024-07-25,36,37,17759520,0,0,48.0,43775,92.0,399,0,4.95,22.0,19.0,misc,44000.0,True,False,False
KOTA PALEMBANG,52.0,2021-04-13,9,0,20425000,972,0,215.0,102409,4.0,974,0,4.9,987.0,86.0,misc,22750.0,True,False,False
KOTA BEKASI,84.0,2022-03-16,14,20,53361000,832,0,363.0,56654,1.0,925,0,4.94,275.0,136.0,misc,27850.0,True,False,False
KAB. BANTUL,42.0,2021-09-19,39,42,7189920,415,0,18.0,10414,378.0,107,0,4.9,70.0,43.0,misc,59000.0,True,False,False
KOTA BANDUNG,32.0,2024-06-23,20,37,32263000,0,0,154.0,103575,328.0,1,20,4.96,51.0,26.0,misc,44000.0,True,False,False
KOTA JAKARTA BARAT,54.0,2019-11-28,13,0,13905000,638,0,103.0,47292,2.0,45,607,4.92,695.0,507.0,misc,17500.0,True,False,False
KOTA BEKASI,24.0,2020-11-07,63,90,25240000,0,0,40.0,30277,1.0,5,0,4.86,463.0,586.0,misc,27850.0,True,False,False
KOTA BEKASI,50.0,2020-09-09,21,30,86943000,0,0,397.0,195162,9.0,1,0,4.91,3.0,961.0,misc,27850.0,True,False,False
KOTA BEKASI,49.0,2024-05-29,6,17,14810400,744,0,242.0,121646,485.0,300,0,4.89,27.0,11.0,misc,27850.0,True,False,False
KAB. TANGERANG,79.0,2020-10-24,16,0,46035000,959,0,279.0,58162,2.0,107,0,4.96,355.0,203.0,misc,39000.0,True,False,False
KOTA BEKASI,0.0,2024-05-29,6,7,31648400,0,0,508.0,503323,2.0,75,467,4.68,200.0,57.0,misc,27850.0,True,False,False
